date,United States,Brazil,United Kingdom,Spain,Colombia,France,Asia,Africa,Europa,America do Sul,America do Norte
2022-05-06,0,0,0,0,0,0,0,27,0,0,0
2022-05-07,0,0,1,0,0,0,0,27,1,0,0
2022-05-08,0,0,1,0,0,0,0,27,1,0,0
2022-05-09,0,0,1,0,0,0,0,27,1,0,0
2022-05-10,0,0,1,0,0,0,0,27,1,0,0
2022-05-11,0,0,1,0,0,0,0,27,1,0,0
2022-05-12,0,0,1,0,0,0,0,27,1,0,0
2022-05-13,0,0,1,0,0,0,0,31,1,0,0
2022-05-14,0,0,3,0,0,0,0,31,3,0,0
2022-05-15,0,0,3,0,0,0,0,31,3,0,0
2022-05-16,0,0,7,0,0,0,0,31,8,0,0
2022-05-17,0,0,7,0,0,0,0,31,11,0,0
2022-05-18,0,0,9,0,0,0,0,31,16,0,0
2022-05-19,0,0,9,7,0,0,0,31,34,0,0
2022-05-20,0,0,20,23,0,1,0,43,77,0,0
2022-05-21,0,0,29,23,0,1,1,43,102,0,0
2022-05-22,0,0,29,40,0,1,1,43,123,0,0
2022-05-23,0,0,56,40,0,1,1,43,158,0,0
2022-05-24,0,0,71,40,0,3,5,43,182,0,0
2022-05-25,0,0,71,40,0,5,5,43,229,0,0
2022-05-26,0,0,90,40,0,7,5,43,280,0,0
2022-05-27,0,0,106,40,0,7,5,43,305,0,0
2022-05-28,0,0,106,40,0,7,5,43,305,0,0
2022-05-29,0,0,106,40,0,7,5,43,306,0,0
2022-05-30,0,0,179,98,0,16,6,43,461,0,0
2022-05-31,0,0,190,98,0,17,6,43,519,0,0
2022-06-01,25,0,196,142,0,17,6,43,600,2,103
2022-06-02,25,0,207,156,0,33,10,44,685,2,103
2022-06-03,25,0,225,186,0,33,10,62,769,2,103
2022-06-04,25,0,225,186,0,51,10,62,789,2,103
2022-06-05,25,0,225,186,0,51,10,62,789,2,103
2022-06-06,25,0,302,186,0,51,10,62,881,2,103
2022-06-07,25,0,302,198,0,66,10,62,936,2,103
2022-06-08,49,1,321,198,0,66,16,62,1031,4,162
2022-06-09,49,1,321,198,0,66,16,62,1077,4,162
2022-06-10,49,1,366,259,0,91,17,77,1244,4,162
2022-06-11,49,1,366,259,0,91,17,77,1244,4,162
2022-06-12,49,1,366,259,0,91,17,77,1252,4,162
2022-06-13,49,1,470,275,0,91,17,77,1445,4,162
2022-06-14,49,1,470,313,0,125,17,77,1595,4,162
2022-06-15,113,7,524,313,0,125,19,77,1746,12,300
2022-06-16,113,7,524,313,0,183,20,77,1869,12,300
2022-06-17,113,7,574,497,0,183,20,176,2213,12,300
2022-06-18,113,7,574,497,0,183,20,176,2213,12,300
2022-06-19,113,7,574,497,0,183,20,176,2213,12,300
2022-06-20,113,7,793,497,0,183,24,176,2539,12,300
2022-06-21,113,7,793,520,0,277,27,176,2753,12,300
2022-06-22,199,19,793,520,3,277,30,176,2906,30,445
2022-06-23,199,19,910,520,3,330,33,176,3189,30,445
2022-06-24,199,19,910,736,3,330,34,202,3567,30,445
2022-06-25,199,19,910,736,3,330,34,202,3611,30,445
2022-06-26,199,19,910,736,3,330,36,202,3611,30,445
2022-06-27,199,19,910,736,3,330,47,202,3779,30,445
2022-06-28,199,19,1076,800,3,440,51,202,4280,30,445
2022-06-29,396,63,1076,800,5,440,56,202,4376,84,712
2022-06-30,396,63,1235,800,5,498,61,202,4727,84,712
2022-07-01,396,63,1235,800,5,498,61,232,4914,84,712
2022-07-02,396,63,1235,800,5,498,61,232,4938,84,712
2022-07-03,396,63,1235,800,5,498,69,232,4938,84,712
2022-07-04,396,63,1235,800,5,498,71,232,5104,84,712
2022-07-05,396,63,1235,1256,5,577,71,232,5862,84,712
2022-07-06,699,205,1351,1477,6,577,74,232,6274,250,1109
2022-07-07,699,205,1351,1477,6,577,79,232,6434,250,1109
2022-07-08,699,205,1351,1477,6,577,79,254,6434,250,1109
2022-07-09,699,205,1351,1477,6,577,79,254,6434,250,1109
2022-07-10,699,205,1552,2034,6,721,81,254,7574,250,1109
2022-07-11,699,205,1552,2034,6,721,88,254,7742,250,1109
2022-07-12,699,205,1735,2034,6,721,96,254,8162,250,1109
2022-07-13,1466,384,1735,2447,7,721,97,254,8642,477,2055
2022-07-14,1466,384,1735,2447,7,912,107,254,8867,477,2055
2022-07-15,1466,384,1735,2447,7,912,107,276,9078,477,2055
2022-07-16,1466,384,1735,2447,7,912,107,276,9078,477,2055
2022-07-17,1466,384,1735,2447,7,912,107,276,9078,477,2055
2022-07-18,1466,384,1856,2835,7,912,123,276,9748,477,2055
2022-07-19,1466,384,2115,2835,7,912,131,276,10500,477,2055
2022-07-20,2582,592,2137,3125,12,912,131,276,10900,789,3343
2022-07-21,2582,592,2137,3125,12,1453,136,276,11534,789,3343
2022-07-22,2582,592,2137,3125,12,1453,139,292,11758,789,3343
2022-07-23,2582,592,2137,3125,12,1453,139,292,11758,789,3343
2022-07-24,2582,592,2137,3125,12,1453,145,292,11758,789,3343
2022-07-25,2582,592,2208,3151,12,1567,158,292,12134,789,3343
2022-07-26,2582,592,2208,3596,12,1567,166,292,12920,789,3343
2022-07-27,4897,978,2432,3738,12,1567,169,292,13351,1339,5785
2022-07-28,4897,978,2432,3738,12,1837,170,292,13733,1339,5785
2022-07-29,4897,978,2432,3738,12,1837,171,333,13923,1339,5785
2022-07-30,4897,978,2432,3738,12,1837,171,333,13923,1339,5785
2022-07-31,4897,978,2432,3738,12,1837,172,333,13924,1339,5785
2022-08-01,4897,978,2546,4298,12,1955,198,334,14910,1339,5785
2022-08-02,4897,978,2759,4577,12,2054,200,334,15778,1339,5785
2022-08-03,7510,1721,2759,4577,43,2054,202,334,15809,2216,8599
2022-08-04,7510,1721,2759,4577,43,2239,217,334,16136,2216,8599
2022-08-05,7510,1721,2759,4577,43,2239,223,354,16333,2216,8599
2022-08-06,7510,1721,2759,4577,43,2239,227,354,16333,2216,8599
2022-08-07,7510,1721,2759,4577,43,2239,227,354,16333,2216,8599
2022-08-08,7510,1721,2859,4942,43,2423,233,354,17103,2216,8599
2022-08-09,7510,1721,2973,5162,43,2423,234,354,17729,2216,8599
2022-08-10,10725,2584,3017,5162,84,2423,238,355,17832,3542,12000
2022-08-11,10725,2584,3017,5270,84,2601,243,355,18147,3542,12000
2022-08-12,10725,2584,3017,5270,84,2601,243,467,18446,3542,12000
2022-08-13,10725,2584,3017,5270,84,2601,243,467,18446,3542,12000
2022-08-14,10725,2584,3037,5719,84,2673,243,467,19040,3542,12000
2022-08-15,10725,2584,3037,5719,84,2673,246,467,19040,3542,12000
2022-08-16,10725,2584,3055,5719,84,2673,261,467,19236,3542,12000
2022-08-17,14049,3450,3055,5792,164,2749,262,467,19473,4889,15572
2022-08-18,14049,3450,3195,5792,164,2749,270,467,19689,4889,15572
2022-08-19,14049,3450,3195,5792,164,2889,271,500,19989,4889,15572
2022-08-20,14049,3450,3195,5792,164,2889,271,500,19989,4889,15572
2022-08-21,14049,3450,3195,5792,164,2889,271,500,19989,4889,15572
2022-08-22,14049,3450,3225,6119,164,2889,287,500,20439,4889,15572
2022-08-23,14049,3450,3340,6283,164,2889,293,500,20880,4889,15572
2022-08-24,16965,4472,3340,6284,273,2889,293,500,20913,6555,18712
2022-08-25,16965,4472,3340,6284,273,2889,295,500,21026,6555,18712
2022-08-26,16965,4472,3340,6459,273,3421,295,569,21847,6555,18712
2022-08-27,16965,4472,3340,6459,273,3421,295,569,21847,6555,18712
2022-08-28,16965,4472,3340,6459,273,3421,295,569,21847,6555,18712
2022-08-29,16965,4472,3340,6459,273,3421,315,571,21872,6555,18712
2022-08-30,16965,4472,3340,6543,273,3421,317,571,22124,6555,18712
2022-08-31,19351,5197,3413,6543,582,3547,317,571,22337,8025,21315
2022-09-01,19351,5197,3413,6543,582,3558,322,571,22399,8025,21315
2022-09-02,19351,5197,3413,6543,582,3558,322,615,22399,8025,21315
2022-09-03,19351,5197,3413,6543,582,3558,323,615,22399,8025,21315
2022-09-04,19351,5197,3413,6645,582,3646,323,615,22677,8025,21315
2022-09-05,19351,5197,3413,6645,582,3646,323,615,22677,8025,21315
2022-09-06,19351,5197,3484,6749,582,3646,328,617,22950,8025,21315
2022-09-07,21504,5971,3484,6749,938,3720,331,617,23038,9597,23828
2022-09-08,21504,5971,3484,6749,938,3721,332,617,23088,9597,23828
2022-09-09,21504,5971,3484,6749,938,3721,335,656,23088,9597,23828
2022-09-10,21504,5971,3484,6749,938,3721,335,656,23088,9597,23828
2022-09-11,21504,5971,3484,6892,938,3785,336,656,23378,9597,23828
2022-09-12,21504,5971,3484,6892,938,3785,336,656,23378,9597,23828
2022-09-13,21504,5971,3552,6947,938,3785,337,656,23586,9597,23828
2022-09-14,22957,6807,3552,6947,1260,3833,337,656,23643,11324,25622
2022-09-15,22957,6807,3552,6947,1260,3833,343,658,23670,11324,25622
2022-09-16,22957,6807,3552,6947,1260,3898,346,728,23784,11324,25622
2022-09-17,22957,6807,3552,6947,1260,3898,346,728,23784,11324,25622
2022-09-18,22957,6807,3552,6947,1260,3898,346,728,23784,11324,25622
2022-09-19,22957,6807,3552,7037,1260,3898,347,728,23886,11324,25622
2022-09-20,22957,6807,3552,7083,1260,3898,352,728,23999,11324,25622
2022-09-21,24402,7418,3585,7083,1653,3943,352,729,24103,12821,27438
2022-09-22,24402,7418,3585,7083,1653,3943,352,729,24114,12821,27438
2022-09-23,24402,7418,3585,7083,1653,3943,352,802,24137,12821,27438
2022-09-24,24402,7418,3585,7083,1653,3943,352,802,24137,12821,27438
2022-09-25,24402,7418,3585,7083,1653,3943,352,802,24137,12821,27438
2022-09-26,24402,7418,3585,7122,1653,3970,352,802,24238,12821,27438
2022-09-27,24402,7418,3635,7149,1653,3970,352,803,24363,12821,27438
2022-09-28,25434,7869,3635,7149,2042,3970,352,803,24378,14040,28762
2022-09-29,25434,7869,3635,7149,2042,3999,353,803,24419,14040,28762
2022-09-30,25434,7869,3635,7188,2042,3999,353,834,24476,14040,28762
2022-10-01,25434,7869,3635,7188,2042,3999,353,844,24476,14040,28762
2022-10-02,25434,7869,3635,7188,2042,3999,355,844,24476,14040,28762
2022-10-03,25434,7869,3635,7188,2042,3999,359,844,24479,14040,28762
2022-10-04,25434,7869,3654,7209,2042,3999,360,844,24561,14040,28762
2022-10-05,26723,8340,3654,7209,2453,3999,371,844,24566,15214,30450
2022-10-06,26723,8340,3654,7209,2453,4043,375,844,24619,15214,30450
2022-10-07,26723,8340,3654,7209,2453,4043,375,920,24638,15214,30450
2022-10-08,26723,8340,3654,7209,2453,4043,375,920,24638,15214,30450
2022-10-09,26723,8340,3654,7209,2453,4043,376,920,24638,15214,30450
2022-10-10,26723,8340,3654,7219,2453,4043,376,920,24654,15214,30450
2022-10-11,26723,8340,3654,7239,2453,4043,376,920,24699,15214,30450
2022-10-12,27128,8652,3654,7239,2730,4043,376,920,24706,16196,31056
2022-10-13,27128,8652,3654,7239,2730,4064,376,920,24727,16196,31056
2022-10-14,27128,8652,3654,7239,2730,4064,380,955,24766,16196,31056
2022-10-15,27128,8652,3654,7239,2730,4064,380,955,24766,16196,31056
2022-10-16,27128,8652,3654,7239,2730,4064,380,955,24766,16196,31056
2022-10-17,27128,8652,3673,7239,2730,4064,380,955,24786,16196,31056
2022-10-18,27128,8652,3673,7239,2730,4064,381,955,24786,16196,31056
2022-10-19,27689,8978,3686,7277,3110,4084,385,956,24911,17242,31986
2022-10-20,27689,8978,3686,7277,3110,4084,390,956,24916,17242,31986
2022-10-21,27689,8978,3686,7277,3110,4084,390,1002,24924,17242,31986
2022-10-22,27689,8978,3686,7277,3110,4084,390,1002,24924,17242,31986
2022-10-23,27689,8978,3686,7277,3110,4084,390,1002,24924,17242,31986
2022-10-24,27689,8978,3686,7277,3110,4084,394,1002,24932,17242,31986
2022-10-25,27689,8978,3698,7317,3110,4084,394,1002,25006,17242,31986
2022-10-26,28049,9183,3698,7317,3298,4094,394,1002,25016,17865,32543
2022-10-27,28049,9183,3698,7317,3298,4094,394,1002,25017,17865,32543
2022-10-28,28049,9183,3698,7317,3298,4094,394,1030,25021,17865,32543
2022-10-29,28049,9183,3698,7317,3298,4094,394,1030,25021,17865,32543
2022-10-30,28049,9183,3698,7317,3298,4094,394,1030,25021,17865,32543
2022-10-31,28049,9183,3698,7317,3298,4094,396,1030,25025,17865,32543
2022-11-01,28049,9183,3701,7317,3298,4094,396,1030,25039,17865,32543
2022-11-02,28423,9312,3701,7317,3523,4094,396,1030,25039,18476,33198
2022-11-03,28423,9312,3701,7317,3523,4094,396,1030,25039,18476,33198
2022-11-04,28423,9312,3701,7336,3523,4097,397,1051,25070,18476,33198
2022-11-05,28423,9312,3701,7336,3523,4097,397,1051,25070,18476,33198
2022-11-06,28423,9312,3701,7336,3523,4097,397,1051,25070,18476,33198
2022-11-07,28423,9312,3701,7336,3523,4097,397,1051,25070,18476,33198
2022-11-08,28423,9312,3701,7336,3523,4097,397,1051,25097,18476,33198
2022-11-09,28683,9606,3701,7336,3630,4097,397,1051,25097,19098,33601
2022-11-10,28683,9606,3701,7336,3630,4097,397,1051,25097,19098,33601
2022-11-11,28683,9606,3701,7336,3630,4097,397,1073,25097,19098,33601
2022-11-12,28683,9606,3701,7336,3630,4097,397,1073,25097,19098,33601
2022-11-13,28683,9606,3703,7377,3630,4102,397,1073,25153,19098,33601
2022-11-14,28683,9606,3703,7377,3630,4102,397,1073,25153,19098,33601
2022-11-15,28683,9606,3710,7392,3630,4102,398,1073,25187,19098,33601
2022-11-16,28935,9844,3710,7392,3719,4102,399,1073,25187,19686,34055
2022-11-17,28935,9844,3710,7392,3719,4102,399,1073,25187,19686,34055
2022-11-18,28935,9844,3710,7392,3719,4104,399,1098,25199,19686,34055
